ID Phường xã,ID tỉnh thành,ID Quận huyện,Đơn vị,Tên Phường xã,
438,22,30,Xã,Thọ Xuân,TX
439,22,30,Xã,Thượng Mỗ,TM
442,22,31,Xã,Cổ Loa,CL
444,22,31,Thị trấn,Đông Anh,ĐA
446,22,31,Xã,Dục Tú,DT
450,22,31,Xã,Liên Hà,LH
452,22,31,Xã,Nam Hồng,NH
457,22,31,Xã,Tiên Dương,TD
458,22,31,Xã,Uy Nỗ,UN
459,22,31,Xã,Vân Hà,VH
460,22,31,Xã,Vân Nội,VN
461,22,31,Xã,Việt Hùng,VH
463,22,31,Xã,Võng La,VL
464,22,31,Xã,Xuân Canh,XC
466,22,32,Phường,Cát Linh,CL
470,22,32,Phường,Kim Liên,KL
471,22,32,Phường,Láng Hạ,LH
472,22,32,Phường,Láng Thượng,LT
474,22,32,Phường,Ngã Tư Sở,NTS
477,22,32,Phường,Phương Mai,PM
478,22,32,Phường,Quang Trung,QT
479,22,32,Phường,Quốc Tử Giám,QTG
480,22,32,Phường,Thịnh Quang,TQ
481,22,32,Phường,Thổ Quan,TQ
482,22,32,Phường,Trung Liệt,TL
483,22,32,Phường,Trung Phụng,TP
484,22,32,Phường,Trung Tự,TT
486,22,32,Phường,Văn Miếu,VM
488,22,33,Xã,Cổ Bi,CB
490,22,33,Xã,Đặng Xá,ĐX
492,22,33,Xã,Đông Dư,ĐD
493,22,33,Xã,Dương Hà,DH
494,22,33,Xã,Dương Quang,DQ
495,22,33,Xã,Dương Xá,DX
496,22,33,Xã,Kiêu Kỵ,KK
497,22,33,Xã,Kim Lan,KL
498,22,33,Xã,Kim Sơn,KS
499,22,33,Xã,Lệ Chi,LC
500,22,33,Xã,Ninh Hiệp,NH
502,22,33,Xã,Phú Thị,PT
503,22,33,Thị trấn,Trâu Quỳ,TQ
504,22,33,Xã,Trung Mầu,TM
509,22,34,Phường,Biên Giang,BG
510,22,34,Phường,Đồng Mai,ĐM
511,22,34,Phường,Dương Nội,DN
513,22,34,Phường,Kiến Hưng,KH
515,22,34,Phường,Mộ Lao,ML
517,22,34,Phường,Phú La,PL
518,22,34,Phường,Phú Lãm,PL
519,22,34,Phường,Phú Lương,PL
522,22,34,Phường,Vạn Phúc,VP
523,22,34,Phường,Văn Quán,VQ
524,22,34,Phường,Yên Nghĩa,YN
526,22,35,Phường,Bạch Đằng,BĐ
527,22,35,Phường,Bách Khoa,BK
528,22,35,Phường,Bạch Mai,BM
531,22,35,Phường,Đống Mác,ĐM
532,22,35,Phường,Đồng Nhân,ĐN
535,22,35,Phường,Minh Khai,MK
540,22,35,Phường,Quỳnh Lôi,QL
543,22,35,Phường,Thanh Nhàn,TN
544,22,35,Phường,Trương Định,TĐ
545,22,35,Phường,Vĩnh Tuy,VT
549,22,36,Xã,Đắc Sở,ĐS
552,22,36,Xã,Đức Giang,ĐG
553,22,36,Xã,Đức Thượng,ĐT
556,22,36,Xã,La Phù,LP
558,22,36,Xã,Minh Khai,MK
559,22,36,Xã,Sơn Đồng,SĐ
560,22,36,Xã,Song Phương,SP
561,22,36,Xã,Tiền Yên,TY
563,22,36,Xã,Vân Canh,VC
565,22,36,Xã,Yên Sở,YS
567,22,37,Phường,Cửa Đông,CĐ
568,22,37,Phường,Cửa Nam,CN
570,22,37,Phường,Hàng Bạc,HB
571,22,37,Phường,Hàng Bài,HB
572,22,37,Phường,Hàng Bồ,HB
574,22,37,Phường,Hàng Buồm,HB
577,22,37,Phường,Hàng Mã,HM
578,22,37,Phường,Hàng Trống,HT
580,22,37,Phường,Phan Chu Trinh,PCT
584,22,38,Phường,Đại Kim,ĐK
585,22,38,Phường,Định Công,ĐC
587,22,38,Phường,Hoàng Liệt,HL
590,22,38,Phường,Mai Động,MĐ
593,22,38,Phường,Thịnh Liệt,TL
594,22,38,Phường,Trần Phú,TP
596,22,38,Phường,Vĩnh Hưng,VH
599,22,39,Phường,Cự Khối,CK
602,22,39,Phường,Giang Biên,GB
603,22,39,Phường,Long Biên,LB
605,22,39,Phường,Ngọc Thụy,NT
606,22,39,Phường,Phúc Đồng,PĐ
610,22,39,Phường,Thượng Thanh,TT
612,22,40,Thị trấn,Chi Đông,CĐ
613,22,40,Xã,Chu Phan,CP
615,22,40,Xã,Hoàng Kim,HK
617,22,40,Xã,Liên Mạc,LM
620,22,40,Xã,Tam Đồng,TĐ
621,22,40,Xã,Thạch Đà,TĐ
624,22,40,Xã,Tiến Thắng,TT
625,22,40,Xã,Tiến Thịnh,TT
627,22,40,Xã,Tự Lập,TL
628,22,40,Xã,Văn Khê,VK
630,22,41,Xã,An Mỹ,AM
631,22,41,Xã,An Phú,AP
637,22,41,Xã,Đồng Tâm,ĐT
639,22,41,Xã,Hợp Thanh,HT
641,22,41,Xã,Hùng Tiến,HT
642,22,41,Xã,Hương Sơn,HS
643,22,41,Xã,Lê Thanh,LT
644,22,41,Xã,Mỹ Thành,MT
649,22,41,Xã,Tuy Lai,TL
653,22,42,Phường,Đại Mỗ,ĐM
655,22,42,Phường,Mỹ Đình 1,MĐ1
656,22,42,Phường,Mỹ Đình 2,MĐ2
658,22,42,Phường,Phương Canh,PC
661,22,42,Phường,Xuân Phương,XP
663,22,43,Xã,Châu Can,CC
664,22,43,Xã,Chuyên Mỹ,CM
665,22,43,Xã,Đại Thắng,ĐT
667,22,43,Xã,Hoàng Long,HL
669,22,43,Xã,Hồng Thái,HT
670,22,43,Xã,Khai Thái,KT
674,22,43,Thị trấn,Phú Minh,PM
678,22,43,Xã,Phúc Tiến,PT
679,22,43,Xã,Phượng Dực,PD
685,22,43,Xã,Tri Thủy,TT
686,22,43,Xã,Tri Trung,TT
687,22,43,Xã,Văn Hoàng,VH
692,22,44,Xã,Hát Môn,HM
696,22,44,Xã,Ngọc Tảo,NT
697,22,44,Xã,Phúc Hòa,PH
699,22,44,Xã,Phụng Thượng,PT
702,22,44,Xã,Tam Hiệp,TH
703,22,44,Xã,Tam Thuấn,TT
705,22,44,Xã,Thọ Lộc,TL
712,22,44,Xã,Võng Xuyên,VX
714,22,45,Xã,Cấn Hữu,CH
715,22,45,Xã,Cộng Hòa,CH
718,22,45,Xã,Đông Xuân,ĐX
720,22,45,Xã,Hòa Thạch,HT
721,22,45,Xã,Liệp Tuyết,LT
722,22,45,Xã,Nghĩa Hương,NH
724,22,45,Xã,Ngọc Mỹ,NM
726,22,45,Xã,Phú Mãn,PM
731,22,45,Xã,Tân Phú,TP
732,22,45,Xã,Thạch Thán,TT
733,22,45,Xã,Tuyết Nghĩa,TN
734,22,45,Xã,Yên Sơn,YS
737,22,46,Xã,Đông Xuân,ĐX
738,22,46,Xã,Đức Hoà,ĐH
741,22,46,Xã,Kim Lũ,KL
742,22,46,Xã,Mai Đình,MĐ
743,22,46,Xã,Minh Phú,MP
744,22,46,Xã,Minh Trí,MT
746,22,46,Xã,Phú Cường,PC
748,22,46,Xã,Phù Lỗ,PL
749,22,46,Xã,Phú Minh,PM
750,22,46,Xã,Quang Tiến,QT
751,22,46,Thị trấn,Sóc Sơn,SS
752,22,46,Xã,Tân Dân,TD
753,22,46,Xã,Tân Hưng,TH
758,22,46,Xã,Việt Long,VL
760,22,46,Xã,Xuân Thu,XT
762,22,47,Xã,Đường Lâm,ĐL
765,22,47,Phường,Ngô Quyền,NQ
766,22,47,Phường,Phú Thịnh,PT
767,22,47,Phường,Quang Trung,QT
771,22,47,Phường,Trung Hưng,TH
772,22,47,Phường,Trung Sơn Trầm,TST
773,22,47,Phường,Viên Sơn,VS
778,22,48,Phường,Phú Thượng,PT
779,22,48,Phường,Quảng An,QA
782,22,48,Phường,Xuân La,XL
785,22,49,Xã,Bình Yên,BY
787,22,49,Xã,Cần Kiệm,CK
788,22,49,Xã,Canh Nậu,CN
789,22,49,Xã,Chàng Sơn,CS
792,22,49,Xã,Đồng Trúc,ĐT
794,22,49,Xã,Hương Ngải,HN
795,22,49,Xã,Hữu Bằng,HB
797,22,49,Xã,Lại Thượng,LT
804,22,49,Xã,Tiến Xuân,TX
808,22,50,Xã,Bình Minh,BM
816,22,50,Thị trấn,Kim Bài,KB
817,22,50,Xã,Kim Thư,KT
818,22,50,Xã,Liên Châu,LC
820,22,50,Xã,Phương Trung,PT
821,22,50,Xã,Tam Hưng,TH
822,22,50,Xã,Tân Ước,TƯ
823,22,50,Xã,Thanh Cao,TC
824,22,50,Xã,Thanh Mai,TM
828,22,51,Xã,Đại Áng,ĐÁ
829,22,51,Xã,Đông Mỹ,ĐM
830,22,51,Xã,Duyên Hà,DH
833,22,51,Xã,Ngọc Hồi,NH
836,22,51,Xã,Tam Hiệp,TH
837,22,51,Xã,Tân Triều,TT
838,22,51,Xã,Thanh Liệt,TL
840,22,51,Thị trấn,Văn Điển,VĐ
841,22,51,Xã,Vạn Phúc,VP
843,22,51,Xã,Yên Mỹ,YM
846,22,52,Phường,Khương Mai,KM
850,22,52,Phường,Phương Liệt,PL
852,22,52,Phường,Thanh Xuân Nam,TXN
854,22,52,Phường,Thượng Đình,TĐ
858,22,53,Xã,Hà Hồi,HH
859,22,53,Xã,Hiền Giang,HG
861,22,53,Xã,Hồng Vân,HV
862,22,53,Xã,Khánh Hà,KH
865,22,53,Xã,Minh Cường,MC
867,22,53,Xã,Nguyễn Trãi,NT
868,22,53,Xã,Nhị Khê,NK
869,22,53,Xã,Ninh Sở,NS
871,22,53,Xã,Tân Minh,TM
872,22,53,Xã,Thắng Lợi,TL
876,22,53,Xã,Tiền Phong,TP
877,22,53,Xã,Tô Hiệu,TH
879,22,53,Xã,Văn Bình,VB
880,22,53,Xã,Vạn Điểm,VĐ
881,22,53,Xã,Văn Phú,VP
914,15,55,Phường,Hòa An,HA
915,15,55,Phường,Hòa Phát,HP
917,15,55,Phường,Hòa Thọ Tây,HTT
918,15,55,Phường,Hòa Xuân,HX
919,15,55,Phường,Khuê Trung,KT
921,15,56,Phường,Hòa Thuận Đông,HTĐ
923,15,56,Phường,Bình Thuận,BT
924,15,56,Phường,Hải Châu II,HCI
925,15,56,Phường,Hòa Cường Bắc,HCB
927,15,56,Phường,Hòa Thuận Tây,HTT
929,15,56,Phường,Phước Ninh,PN
945,15,59,Phường,Hòa Hiệp Nam,HHN
946,15,59,Phường,Hòa Khánh Bắc,HKB
950,15,60,Phường,Hoà Hải,HH
951,15,60,Phường,Hoà Quý,HQ
953,15,61,Phường,An Hải Bắc,AHB
957,15,61,Phường,Nại Hiên Đông,NHĐ
958,15,61,Phường,Phước Mỹ,PM
961,15,62,Phường,Chính Gián,CG
965,15,62,Phường,Thạc Gián,TG
966,15,62,Phường,Thanh Khê Đông,TKĐ
967,15,62,Phường,Thanh Khê Tây,TKT
969,15,62,Phường,Vĩnh Trung,VT
970,15,62,Phường,Xuân Hà,XH
972,73,63,Xã,Hưng Hòa,HH
973,73,63,Xã,Lai Hưng,LH
976,73,63,Xã,Long Nguyên,LN
977,73,63,Xã,Tân Hưng,TH
985,73,64,Xã,Phú An,PA
987,73,64,Phường,Thới Hòa,TH
988,73,65,Xã,An Lập,AL
989,73,65,Thị trấn,Dầu Tiếng,DT
992,73,65,Xã,Định Thành,ĐT
997,73,65,Xã,Minh Thạnh,MT
998,73,65,Xã,Thanh An,TA
1007,73,67,Xã,An Bình,AB
1009,73,67,Xã,An Long,AL
1010,73,67,Xã,An Thái,AT
1011,73,67,Xã,Phước Hoà,PH
1013,73,67,Thị trấn,Phước Vĩnh,PV
1015,73,67,Xã,Tân Hiệp,TH
1017,73,67,Xã,Vĩnh Hoà,VH
1027,73,717,Xã,Tân Định,TĐ
1029,73,717,Xã,Tân Lập,TL
1037,73,717,Xã,Thường Tân,TT
1098,17,72,Xã,Lâm San,LS
1099,17,72,Thị trấn,Long Giao,LG
1100,17,72,Xã,Nhân Nghĩa,NN
1101,17,72,Xã,Sông Nhạn,SN
1102,17,72,Xã,Sông Ray,SR
1104,17,72,Xã,Xuân Bảo,XB
1107,17,72,Xã,Xuân Mỹ,XM
1108,17,72,Xã,Xuân Quế,XQ
1109,17,72,Xã,Xuân Tây,XT
1110,17,73,Thị trấn,Định Quán,ĐQ
1113,17,73,Xã,Ngọc Định,NĐ
1117,17,73,Xã,Phú Ngọc,PN
1119,17,73,Xã,Phú Túc,PT
1120,17,73,Xã,Phú Vinh,PV
1121,17,73,Xã,Suối Nho,SN
1141,17,75,Xã,Bàu Cạn,BC
1143,17,75,Xã,Bình Sơn,BS
1145,17,75,Xã,Lộc An,LA
1146,17,75,Xã,Long An,LA
1147,17,75,Xã,Long Đức,LĐ
1148,17,75,Xã,Long Phước,LP
1149,17,75,Thị trấn,Long Thành,LT
1150,17,75,Xã,Phước Bình,PB
1155,17,75,Xã,Tân Hiệp,TH
1158,17,76,Xã,Long Tân,LT
1163,17,76,Xã,Phú Thạnh,PT
1164,17,76,Xã,Phước An,PA
1166,17,76,Xã,Phước Thiền,PT
1187,17,78,Thị trấn,Dầu Giây,DG
1188,17,78,Xã,Gia Kiệm,GK
1191,17,78,Xã,Gia Tân 3,GT3
1196,17,78,Xã,Xuân Thiện,XT
1198,17,79,Xã,Bắc Sơn,BS
1199,17,79,Xã,Bàu Hàm,BH
1200,17,79,Xã,Bình Minh,BM
1204,17,79,Xã,Giang Điền,GĐ
1205,17,79,Xã,Hố Nai 3,HN3
1207,17,79,Xã,Hưng Thịnh,HT
1208,17,79,Xã,Quảng Tiến,QT
1209,17,79,Xã,Sông Thao,ST
1211,17,79,Xã,Tây Hoà,TH
1212,17,79,Xã,Thanh Bình,TB
1214,17,79,Xã,Trung Hoà,TH
1215,17,80,Xã,Bình Hòa,BH
1218,17,80,Xã,Mã Đà,MĐ
1219,17,80,Xã,Phú Lý,PL
1221,17,80,Xã,Tân Bình,TB
1222,17,80,Xã,Thạnh Phú,TP
1226,17,80,Xã,Vĩnh Tân,VT
1229,17,81,Xã,Lang Minh,LM
1232,17,81,Xã,Xuân Bắc,XB
1234,17,81,Xã,Xuân Hiệp,XH
1237,17,81,Xã,Xuân Phú,XP
1241,17,81,Xã,Xuân Trường,XT
1243,30,82,Xã,Cam An Nam,CAN
1244,30,82,Thị trấn,Cam Đức,CĐ
1246,30,82,Xã,Cam Hải Tây,CHT
1247,30,82,Xã,Cam Hiệp Bắc,CHB
1248,30,82,Xã,Cam Hiệp Nam,CHN
1252,30,82,Xã,Cam Thành Bắc,CTB
1254,30,82,Xã,Suối Cát,SC
1256,30,83,Phường,Ba Ngòi,BN
1257,30,83,Xã,Cam Bình,CB
1259,30,83,Phường,Cam Linh,CL
1261,30,83,Phường,Cam Lợi,CL
1262,30,83,Phường,Cam Nghĩa,CN
1263,30,83,Phường,Cam Phú,CP
1264,30,83,Phường,Cam Phúc Bắc,CPB
1265,30,83,Phường,Cam Phúc Nam,CPN
1266,30,83,Xã,Cam Phước Đông,CPĐ
1267,30,83,Xã,Cam Thành Nam,CTN
1268,30,83,Xã,Cam Thịnh Đông,CTĐ
1269,30,83,Xã,Cam Thịnh Tây,CTT
1270,30,83,Phường,Cam Thuận,CT
1271,30,84,Xã,Diên An,DA
1274,30,84,Xã,Diên Đồng,DĐ
1277,30,84,Xã,Diên Lạc,DL
1278,30,84,Xã,Diên Lâm,DL
1280,30,84,Xã,Diên Phú,DP
1281,30,84,Xã,Diên Phước,DP
1283,30,84,Xã,Diên Tân,DT
1284,30,84,Xã,Diên Thạnh,DT
1287,30,84,Xã,Diên Xuân,DX
1289,30,84,Xã,Suối Tiên,ST
1292,30,85,Xã,Sơn Bình,SB
1293,30,85,Xã,Sơn Hiệp,SH
1294,30,85,Xã,Sơn Lâm,SL
1296,30,85,Xã,Thành Sơn,TS
1302,30,86,Xã,Khánh Hiệp,KH
1303,30,86,Xã,Khánh Nam,KN
1304,30,86,Xã,Khánh Phú,KP
1305,30,86,Xã,Khánh Thành,KT
1311,30,86,Xã,Sông Cầu,SC
1315,30,87,Phường,Phước Hải,PH
1316,30,87,Phường,Phước Hòa,PH
1317,30,87,Phường,Phước Long,PL
1319,30,87,Phường,Phước Tiến,PT
1322,30,87,Phường,Tân Lập,TL
1324,30,87,Phường,Vạn Thạnh,VT
1325,30,87,Phường,Vĩnh Hải,VH
1329,30,87,Xã,Vĩnh Ngọc,VN
1331,30,87,Phường,Vĩnh Phước,VP
1333,30,87,Xã,Vĩnh Thái,VT
1334,30,87,Xã,Vĩnh Thạnh,VT
1368,30,89,Xã,Song Tử Tây,STT
1371,30,90,Xã,Vạn Bình,VB
1372,30,90,Thị trấn,Vạn Giã,VG
1376,30,90,Xã,Vạn Lương,VL
1377,30,90,Xã,Vạn Phú,VP
1378,30,90,Xã,Vạn Phước,VP
1380,30,90,Xã,Vạn Thạnh,VT
1381,30,90,Xã,Vạn Thọ,VT
1383,26,91,Xã,An Đồng,AĐ
1386,26,91,Xã,An Hoà,AH
1387,26,91,Xã,An Hồng,AH
1388,26,91,Xã,An Hưng,AH
1389,26,91,Xã,Bắc Sơn,BS
1390,26,91,Xã,Đại Bản,ĐB
1391,26,91,Xã,Đặng Cương,ĐC
1392,26,91,Xã,Đồng Thái,ĐT
1399,26,91,Xã,Quốc Tuấn,QT
1400,26,91,Xã,Tân Tiến,TT
1402,26,92,Xã,An Thái,AT
1404,26,92,Xã,An Thọ,AT
1405,26,92,Xã,An Tiến,AT
1407,26,92,Xã,Chiến Thắng,CT
1408,26,92,Xã,Mỹ Đức,MĐ
1410,26,92,Xã,Quang Trung,QT
1412,26,92,Xã,Tân Dân,TD
1414,26,92,Xã,Thái Sơn,TS
1423,26,94,Xã,Hoàng Châu,HC
1424,26,94,Xã,Nghĩa Lộ,NL
1425,26,94,Xã,Phù Long,PL
1430,26,95,Phường,Bàng La,BL
1432,26,95,Phường,Minh Đức,MĐ
1435,26,95,Phường,Vạn Hương,VH
1439,26,96,Phường,Hải Thành,HT
1443,26,97,Phường,Đằng Hải,ĐH
1447,26,97,Phường,Đông Hải 1,ĐH1
1448,26,97,Phường,Đông Hải 2,ĐH2
1450,26,97,Phường,Thành Tô,TT
1454,26,98,Phường,Hùng Vương,HV
1463,26,98,Phường,Trại Chuối,TC
1468,26,99,Phường,Nam Sơn,NS
1469,26,99,Phường,Ngọc Sơn,NS
1470,26,99,Phường,Phù Liễn,PL
1471,26,99,Phường,Quán Trữ,QT
1472,26,99,Phường,Trần Thành Ngọ,TTN
1473,26,99,Phường,Tràng Minh,TM
1474,26,99,Phường,Văn Đẩu,VĐ
1495,26,101,Phường,Kênh Dương,KD
1496,26,101,Phường,An Biên,AB
1501,26,101,Phường,Hàng Kênh,HK
1503,26,101,Phường,Lam Sơn,LS
1504,26,101,Phường,Nghĩa Xá,NX
1505,26,101,Phường,Niệm Nghĩa,NN
1508,26,101,Phường,Vĩnh Niệm,VN
1511,26,102,Phường,Lạc Viên,LV
1513,26,102,Phường,Cầu Tre,CT
1517,26,102,Phường,Lạch Tray,LT
1523,26,103,Xã,Đông Sơn,ĐS
1524,26,103,Xã,Gia Minh,GM
1525,26,103,Xã,Hoà Bình,HB
1527,26,103,Xã,Kiền Bái,KB
1528,26,103,Xã,Lâm Động,LĐ
1529,26,103,Xã,Phục Lễ,PL
1531,26,103,Xã,Thuỷ Đường,TĐ
1532,26,103,Xã,An Lư,AL
1536,26,103,Xã,Gia Đức,GĐ
1538,26,103,Xã,Hoàng Động,HĐ
1540,26,103,Xã,Kỳ Sơn,KS
1541,26,103,Xã,Lại Xuân,LX
1542,26,103,Xã,Lập Lễ,LL
1543,26,103,Xã,Liên Khê,LK
1544,26,103,Xã,Lưu Kiếm,LK
1545,26,103,Xã,Lưu Kỳ,LK
1547,26,103,Xã,Minh Tân,MT
1549,26,103,Xã,Ngũ Lão,NL
1551,26,103,Xã,Phả Lễ,PL
1552,26,103,Xã,Phù Ninh,PN
1553,26,103,Xã,Quảng Thanh,QT
1555,26,103,Xã,Thiên Hương,TH
1558,26,103,Xã,Trung Hà,TH
1559,26,104,Xã,Đông Hưng,ĐH
1560,26,104,Xã,Bắc Hưng,BH
1562,26,104,Xã,Cấp Tiến,CT
1563,26,104,Xã,Đại Thắng,ĐT
1564,26,104,Xã,Đoàn Lập,ĐL
1565,26,104,Xã,Hùng Thắng,HT
1566,26,104,Xã,Khởi Nghĩa,KN
1568,26,104,Xã,Nam Hưng,NH
1570,26,104,Xã,Quyết Tiến,QT
1571,26,104,Xã,Tây Hưng,TH
1576,26,104,Xã,Tiên Thắng,TT
1577,26,104,Xã,Tiên Thanh,TT
1580,26,104,Xã,Tự Cường,TC
1584,26,105,Xã,Cổ Am,CA
1586,26,105,Xã,Đồng Minh,ĐM
1587,26,105,Xã,Dũng Tiến,DT
1589,26,105,Xã,Hiệp Hoà,HH
1591,26,105,Xã,Hưng Nhân,HN
1596,26,105,Xã,Tam Cường,TC
1600,26,105,Xã,Thắng Thuỷ,TT
1601,26,105,Xã,Thanh Lương,TL
1603,26,105,Xã,Trấn Dương,TD
1605,26,105,Xã,Việt Tiến,VT
1608,26,105,Xã,Vĩnh Long,VL
1610,26,105,Xã,Vinh Quang,VQ
1616,37,106,Xã,Lương Bình,LB
1619,37,106,Xã,Nhựt Chánh,NC
1620,37,106,Xã,Phước Lợi,PL
1622,37,106,Xã,Tân Hòa,TH
1623,37,106,Xã,Thạnh Đức,TĐ
1625,37,106,Xã,Thạnh Lợi,TL
1627,37,107,Thị trấn,Cần Đước,CĐ
1629,37,107,Xã,Long Định,LĐ
1630,37,107,Xã,Long Hòa,LH
1631,37,107,Xã,Long Hựu Đông,LHĐ
1634,37,107,Xã,Long Sơn,LS
1637,37,107,Xã,Mỹ Lệ,ML
1638,37,107,Xã,Phước Đông,PĐ
1641,37,107,Xã,Tân Ân,TÂ
1642,37,107,Xã,Tân Chánh,TC
1645,37,108,Thị trấn,Cần Giuộc,CG
1648,37,108,Xã,Long Hậu,LH
1650,37,108,Xã,Long Thượng,LT
1651,37,108,Xã,Mỹ Lộc,ML
1652,37,108,Xã,Phước Hậu,PH
1655,37,108,Xã,Phước Lý,PL
1660,37,108,Xã,Thuận Thành,TT
1662,37,109,Xã,An Lục Long,ALL
1663,37,109,Xã,Bình Quới,BQ
1665,37,109,Xã,Dương Xuân Hội,DXH
1666,37,109,Xã,Hiệp Thạnh,HT
1668,37,109,Xã,Long Trì,LT
1670,37,109,Xã,Phước Tân Hưng,PTH
1671,37,109,Thị trấn,Tầm Vu,TV
1672,37,109,Xã,Thanh Phú Long,TPL
1674,37,109,Xã,Thuận Mỹ,TM
1698,37,111,Xã,Bình Hòa Nam,BHN
1699,37,111,Xã,Bình Thành,BT
1702,37,111,Xã,Mỹ Quý Đông,MQĐ
1703,37,111,Xã,Mỹ Quý Tây,MQT
1704,37,111,Xã,Mỹ Thạnh Bắc,MTB
